,Movie Name,Audience Score,AUDIENCE SCORE reviews,Tomatometer Score,TOMATOMETER reviews,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),box office,Runtime,Distributor,MOVIE INFO
0,"LYLE, LYLE, CROCODILE",93%,"1,000+ Verified Ratings",73%,"LYLE, LYLE, CROCODILE","Kids & Family, Musical, Comedy, Animation",English,"Will Speck, Josh Gordon","Hutch Parker, Will Speck, Josh Gordon",Will Davies,"Oct 7, 2022  Wide",,$45.2M,1h 46m,Columbia Pictures,"When the Primm family (Constance Wu, Scoot McNairy, Winslow Fegley) moves to New York City, their young son Josh struggles to adapt to his new school and new friends. All of that changes when he discovers Lyle - a singing crocodile (Shawn Mendes) who loves baths, caviar and great music-living in the attic of his new home. The two become fast friends, but when Lyle's existence is threatened by evil neighbor Mr. Grumps (Brett Gelman), the Primm's must band together with Lyle's charismatic owner, Hector P. Valenti (Javier Bardem), to show the world that family can come from the most unexpected places and there's nothing wrong with a big singing crocodile with an even bigger personality."
1,SMILE,77%,"2,500+ Verified Ratings",79%,SMILE,"Horror, Mystery & Thriller",English,Parker Finn,"Marty Bowen, Wyck Godfrey, Isaac Klausner, Robert Salerno",Parker Finn,"Sep 30, 2022  Wide","Nov 15, 2022",$105.5M,1h 56m,Paramount Pictures,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter (Sosie Bacon) starts experiencing frightening occurrences that she can't explain. As an overwhelming terror begins taking over her life, Rose must confront her troubling past in order to survive and escape her horrifying new reality."
2,PREY FOR THE DEVIL,69%,250+ Verified Ratings,16%,PREY FOR THE DEVIL,"Horror, Mystery & Thriller",English,Daniel Stamm,"Paul Brooks, Todd R. Jones, Earl Richey Jones, Jessica Malanaphy","Robert Zappia, Earl Richey Jones, Todd R. Jones","Oct 28, 2022  Wide",,$19.1M,1h 33m,Lionsgate,"Sister Ann (Jacqueline Byers) believes she is answering a calling to be the first female exorcist... but who, or what, called her? In response to a global rise in demonic possessions, Ann seeks out a place at an exorcism school reopened by the Catholic Church. Until now these schools have only trained priests in the Rite of Exorcism -- but a professor (Colin Salmon) recognizes Sister Ann's gifts and agrees to train her. Thrust onto the spiritual frontline with fellow student Father Dante (Christian Navarro), Sister Ann finds herself in a battle for the soul of a young girl, who Sister Ann believes is possessed by the same demon that tormented her own mother years ago. Determined to root out the evil, Ann soon realizes the Devil has her right where he wants her."
3,THE BANSHEES OF INISHERIN,76%,500+ Verified Ratings,97%,THE BANSHEES OF INISHERIN,Comedy,English,Martin McDonagh,"Graham Broadbent, Peter Czernin, Martin McDonagh",Martin McDonagh,"Nov 4, 2022  Wide","Dec 13, 2022",$7.9M,1h 49m,Searchlight Pictures,"Set on a remote island off the west coast of Ireland, THE BANSHEES OF INISHERIN follows lifelong friends Pádraic and Colm, who find themselves at an impasse when Colm unexpectedly puts an end to their friendship. A stunned Pádraic, aided by his sister Siobhán and troubled young islander Dominic, endeavours to repair the relationship, refusing to take no for an answer. But Pádraic's repeated efforts only strengthen his former friend’s resolve and when Colm delivers a desperate ultimatum, events swiftly escalate, with shocking consequences."
4,ONE PIECE FILM RED,95%,"1,000+ Verified Ratings",94%,ONE PIECE FILM RED,"Action, Adventure, Anime",Japanese,Goro Taniguchi,Eiichiro Oda,"Eiichiro Oda, Tsutomu Kuroiwa","Nov 4, 2022  Wide",,$8.6M,1h 55m,Crunchyroll,"Uta -- the most beloved singer in the world. Renowned for concealing her own identity when performing, her voice has come to be described as ""otherworldly."" Now, for the first time ever, Uta will reveal herself to the world at a live concert. As the venue fills with all kinds of Uta fans -- excited pirates, the Navy watching closely, and the Straw Hats led by Luffy who simply came to enjoy her sonorous performance -- the voice that the whole world has been waiting for is about to resound. The story begins with the shocking fact that she is Shanks' daughter."
5,THE WOMAN KING,99%,"5,000+ Verified Ratings",94%,THE WOMAN KING,"Action, Adventure, History, Drama, War",English,Gina Prince-Bythewood,"Cathy Schulman, Viola Davis, Julius Tennon, Maria Bello",Dana Stevens,"Sep 16, 2022  Wide",,$67.0M,2h 15m,TriStar Pictures,"The Woman King is the remarkable story of the Agojie, the all-female unit of warriors who protected the African Kingdom of Dahomey in the 1800s with skills and a fierceness unlike anything the world has ever seen. Inspired by true events, The Woman King follows the emotionally epic journey of General Nanisca (Oscar®-winner Viola Davis) as she trains the next generation of recruits and readies them for battle against an enemy determined to destroy their way of life. Some things are worth fighting for...."
6,TRIANGLE OF SADNESS,73%,500+ Ratings,69%,TRIANGLE OF SADNESS,Comedy,English,Ruben Östlund,"Philippe Bober, Erik Hemmendorff",Ruben Östlund,"Oct 7, 2022  Limited",,$4.0M,2h 29m,NEON,"In Ruben Östlund's wickedly funny Palme d'Or winner, social hierarchy is turned upside down, revealing the tawdry relationship between power and beauty. Celebrity model couple, Carl (Harris Dickinson) and Yaya (Charlbi Dean), are invited on a luxury cruise for the uber-rich, helmed by an unhinged boat captain (Woody Harrelson). What first appeared instagrammable ends catastrophically, leaving the survivors stranded on a desert island and fighting for survival."
7,TÁR,72%,250+ Verified Ratings,90%,TÁR,"Drama, Music",English,Todd Field,"Todd Field, Alexandra Milchan, Scott Lambert",Todd Field,"Oct 28, 2022  Wide",,$5.1M,2h 38m,Focus Features,"From writer-producer-director Todd Field comes TÁR, starring Cate Blanchett as Lydia Tár, the groundbreaking conductor of a major German Orchestra. We meet Tár at the height of her career, as she's preparing both a book launch and much-anticipated live performance of Mahler's Fifth Symphony. Over the ensuing weeks her life begins to unravel in a singularly modern way. The result is a searing examination of power, and its impact and durability in today's society."
8,TILL,97%,500+ Verified Ratings,98%,TILL,Drama,English,Chinonye Chukwu,"Keith Beauchamp, Barbara Broccoli, Whoopi Goldberg, Thomas Levine, Michael Reilly, Frederick Zollo","Michael Reilly, Keith Beauchamp, Chinonye Chukwu","Oct 28, 2022  Wide",,$8.7M,2h 10m,United Artists Releasing,"Till is a profoundly emotional and cinematic film about the true story of Mamie Till Mobley's relentless pursuit of justice for her 14 year old son, Emmett Till, who, in 1955, was brutally lynched while visiting his cousins in Mississippi. In Mamie's poignant journey of grief turned to action, we see the universal power of a mother's ability to change the world."
9,MINIONS: THE RISE OF GRU,89%,"10,000+ Verified Ratings",70%,MINIONS: THE RISE OF GRU,"Kids & Family, Comedy, Adventure, Animation",English,Kyle Balda,"Christopher Meledandri, Janet Healy, Chris Renaud",Matthew Fogel,"Jul 1, 2022  Wide","Sep 23, 2022",$369.5M,1h 27m,Universal Pictures,"In the heart of the 1970s, amid a flurry of feathered hair and flared jeans, Gru (Oscar® nominee Steve Carell) is growing up in the suburbs. A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them. Luckily, he gets some mayhem-making backup from his loyal followers, the Minions. Together, Kevin, Stuart, Bob, and Otto--a new Minion sporting braces and a desperate need to please--deploy their skills as they and Gru build their first lair, experiment with their first weapons and pull off their first missions. When the Vicious 6 oust their leader, legendary fighter Wild Knuckles (Oscar® winner Alan Arkin), Gru interviews to become their newest member. It doesn't go well (to say the least), and only gets worse after Gru outsmarts them and suddenly finds himself the mortal enemy of the apex of evil. On the run, Gru will turn to an unlikely source for guidance, Wild Knuckles himself, and discover that even bad guys need a little help from their friends."
10,ARMAGEDDON TIME,48%,100+ Verified Ratings,76%,ARMAGEDDON TIME,Drama,English,James Gray,"Anthony Katagas, Marc Butan, Rodrigo Teixeira, James Gray",James Gray,"Nov 4, 2022  Wide",,$1.8M,1h 54m,Focus Features,"From acclaimed filmmaker James Gray, ARMAGEDDON TIME is a deeply personal coming-of-age story about the strength of family and the generational pursuit of the American Dream. The film features an all-star cast including Anthony Hopkins, Anne Hathaway and Jeremy Strong."
11,DECISION TO LEAVE,88%,250+ Ratings,94%,DECISION TO LEAVE,"Mystery & Thriller, Crime, Drama, Romance",Korean,Park Chan-wook,Park Chan-wook,"Park Chan-wook, , Jeong Seo-kyeong","Oct 14, 2022  Limited",,$1.9M,2h 18m,MUBI,"From a mountain peak in South Korea, a man plummets to his death. Did he jump, or was he pushed? When detective Hae-joon arrives on the scene, he begins to suspect the dead man's wife Seo-rae. But as he digs deeper into the investigation, he finds himself trapped in a web of deception and desire."
12,ALL THE BEAUTY AND THE BLOODSHED,0%,Fewer than 50 Ratings,96%,ALL THE BEAUTY AND THE BLOODSHED,"Documentary, Biography",English,Laura Poitras,"Nan Goldin, Howard Gertler, John S. Lyons, Yoni Golijov, Laura Poitras",Laura Poitras,"Nov 23, 2022  Limited",,$38.2K,1h 57m,NEON,"Directed by Academy Award®-winning filmmaker Laura Poitras, All the Beauty and the Bloodshed is an epic, emotional and interconnected story about internationally renowned artist and activist Nan Goldin told through her slideshows, intimate interviews, ground-breaking photography, and rare footage of her personal fight to hold the Sackler family accountable for the overdose crisis."
13,BARBARIAN,71%,"1,000+ Verified Ratings",92%,BARBARIAN,"Horror, Mystery & Thriller",English,Zach Cregger,"Arnon Milchan, Roy Lee, Raphael Margules, J.D. Lifshitz",Zach Cregger,"Sep 9, 2022  Wide","Oct 25, 2022",$40.8M,1h 42m,20th Century Studios,"Traveling to Detroit for a job interview, a young woman books a rental home. But when she arrives late at night, she discovers that the house is double booked and a strange man is already staying there. Against her better judgement, she decides to spend the evening, but soon discovers that there's a lot more to fear than just an unexpected house guest."
14,AMSTERDAM,62%,500+ Verified Ratings,33%,AMSTERDAM,"Comedy, Mystery & Thriller, Crime, Drama",English,David O. Russell,"Arnon Milchan, Matthew Budman, Anthony Katagas, David O. Russell, Christian Bale",David O. Russell,"Oct 7, 2022  Wide","Nov 11, 2022",$14.9M,2h 14m,20th Century Studios,In 1933 three close friends find themselves at the center of one of the most shocking secret plots in American history.
15,FIRE OF LOVE,87%,100+ Ratings,99%,FIRE OF LOVE,"Documentary, Biography",French (Canada),Sara Dosa,"Shane Boris, Ina Fichman, Sara Dosa",,"Jul 6, 2022  Limited","Nov 11, 2022",$1.1M,1h 33m,NEON,"Fire of Love tells the story of two French lovers, Katia and Maurice Krafft, who died in a volcanic explosion doing the very thing that brought them together: unraveling the mysteries of our planet, while simultaneously capturing the most explosive volcano imagery ever recorded. Along the way, they changed our understanding of the natural world, and saved tens of thousands of lives. Previously unseen hours of pristine 16-millimeter film and thousands of photographs reveal the birth of modern volcanology through an unlikely lens -- the love of its two pioneers."
16,DC LEAGUE OF SUPER-PETS,88%,"2,500+ Verified Ratings",73%,DC LEAGUE OF SUPER-PETS,"Kids & Family, Comedy, Adventure, Animation",English,Jared Stern,"Patricia Hicks, Dwayne Johnson, Dany Garcia, Hiram Garcia, Jared Stern","Jared Stern, John Whittington","Jul 29, 2022  Wide","Aug 23, 2022",$93.7M,1h 46m,Warner Bros. Pictures,"In ""DC League of Super-Pets,"" Krypto the Super-Dog and Superman are inseparable best friends, sharing the same superpowers and fighting crime in Metropolis side by side. When Superman and the rest of the Justice League are kidnapped, Krypto must convince a rag-tag shelter pack--Ace the hound, PB the potbellied pig, Merton the turtle and Chip the squirrel--to master their own newfound powers and help him rescue the superheroes."
17,EO,93%,Fewer than 50 Ratings,97%,EO,Drama,Polish,Jerzy Skolimowski,"Ewa Piaskowska, Jerzy Skolimowski, Eileen Tasca","Ewa Piaskowska, Jerzy Skolimowski","Nov 18, 2022  Limited",,$49.4K,1h 28m,Janus Films,"The world is a mysterious place when seen through the eyes of an animal. EO, a grey donkey with melancholic eyes, meets good and bad people on his life's path, experiences joy and pain, endures the wheel of fortune randomly turn his luck into disaster and his despair into unexpected bliss. But not even for a moment does he lose his innocence."
18,SALVATORE: SHOEMAKER OF DREAMS,--,Fewer than 50 Ratings,73%,SALVATORE: SHOEMAKER OF DREAMS,"Documentary, Biography",Italian,Luca Guadagnino,"Francesco Melzi d'Eril, Gabriele Moratti","Dana Thomas, Dana Thomas","Nov 4, 2022  Limited",,$30.0K,2h 0m,Sony Pictures Classics,"The life of Italian shoemaker Salvatore Ferragamo, who created shoes for Hollywood stars during the silent film era and for iconic films of the period."
19,THE GOOD HOUSE,76%,100+ Verified Ratings,72%,THE GOOD HOUSE,"Romance, Comedy, Drama",English,"Maya Forbes, Wallace Wolodarsky","Jane Rosenthal, Berry Welsh, Aaron Ryder","Maya Forbes, Wallace Wolodarsky, Thomas Bezucha","Sep 30, 2022  Limited",,$2.2M,1h 43m,Lionsgate / Roadside Attractions,"The Good House follows Hildy Good (Sigourney Weaver), a wry New England realtor and descendant of the Salem witches, who loves her wine and her secrets. Her compartmentalized life begins to unravel as she rekindles a romance with her old high-school flame, Frank Getchell (Kevin Kline), and becomes dangerously entwined in one person's reckless behavior. Igniting long-buried emotions and family secrets, Hildy is propelled toward a reckoning with the one person she's been avoiding for decades: herself."
