Movie Name,Audience Score,AUDIENCE SCORE reviews,Tomatometer Score,TOMATOMETER reviews,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),box office,Runtime,Distributor,MOVIE INFO
SOLILOQUY,--,0 Ratings,--,SOLILOQUY,Animation,English,Martine Syms,Rocket Caleshu,,,,,7m,,"Kita, a cultural commentator, questions consciousness within the systems of race, capitalism, and technology."
HANDS,--,0 Ratings,--,HANDS,Drama,English,Xavi José,"Gil Gilbert, Xavi José, Carter Pilcher",Pep Garrido,,"Mar 23, 2017",,9m,,Two friends struggle with a terrible secret that might break them apart.
WHEN WERE YOU BORN?,--,Fewer than 50 Ratings,42%,WHEN WERE YOU BORN?,Mystery & Thriller,English,William McGann,,Anthony Coldeway,,,,1h 5m,,A Chinese astrologer (Anna May Wong) helps the San Francisco police solve a murder.
LAST SEEN,--,0 Ratings,--,LAST SEEN,"Drama, Mystery & Thriller",English,Eva Ilona Brzeski,,Holiday Reinhorn,,,,1h 30m,,A town searches for a missing high school student.
CHITRANGI,--,0 Ratings,--,CHITRANGI,Drama,Tamil,,,,,,,2h 27m,,A young woman unknowingly marries a king.
CLEANING HOUSE,--,0 Ratings,--,CLEANING HOUSE,Comedy,English,Shahaub Roudbari,Marissa Labog,Marissa Labog,,,,11m,,"Revolving around a spirited maid and an overzealous secret agent. As her love for Whitney Houston disrupts his covert op, a frantic battle erupts, revealing things that are not always as they seem."
NON-STOP,75%,50+ Ratings,67%,NON-STOP,"Comedy, Action, Crime, Drama",Japanese,Sabu,Moto Seta,Sabu,"Nov 10, 2000  Wide",,$41.9K,1h 22m,Shooting Gallery,"""Non-Stop"" is the story of three losers brought together by fate with disastrous results. A would-be bank robber forgets his mask on his first big heist, and then botches an attempt to shoplift a replacement mask from a nearby convenience store. The store's clerk, a washed-up rock star, chases the thief and literally runs into a Yakuza (Japanese Mafia) thug to whom he owes money. Thus begins an all-night, three-way pursuit through the streets of Tokyo."
SOLITARY,--,Fewer than 50 Ratings,--,SOLITARY,"Mystery & Thriller, Drama",English,Greg Derochie,"Greg Derochie, Cindy Troianello","Greg Derochie, Charles Scalfani",,"Dec 19, 2017",,1h 30m,,A psychiatrist (Andrew Qamar) tries to help an agoraphobic (Amber Jaeger) after her husband (Kieron Elliott) disappears.
THE CURE,79%,250+ Ratings,--,THE CURE,Comedy,,Charlie Chaplin,"Henry P. Caulfield, Charlie Chaplin","Charlie Chaplin, Maverick Terrell, Vincent Bryan","Apr 16, 1917  Original","Feb 16, 1999",,31m,,An alcoholic throws a health spa into chaos.
A HAUNTING IN RAVENWOOD,--,0 Ratings,--,A HAUNTING IN RAVENWOOD,Horror,English,Calvin Morie McCarthy,"Brian Asman, Calvin Morie McCarthy, Lea Buffett, Susan Helfrich, Rich Wolff, Michelle Cain, Mike Conroy, Scott Motisko","Brian Asman, Calvin Morie McCarthy",,,,1h 35m,,"A newlywed couple arrives at the house of the husband's late wife, where eerie events start to lead his new bride to believe she's losing her mind."
INCARNATION,--,Fewer than 50 Ratings,--,INCARNATION,"Action, Mystery & Thriller",Serbian,Filip Kovacevic,,"Filip Kovacevic, Masa Senicic, Ivan Stancic",,,,1h 22m,,"Scrambling his way through a torturous loop, a man struggles with an inexplicable memory crisis and is unable to make any sense of his situation."
SAM,--,0 Ratings,--,SAM,Mystery & Thriller,French (Canada),Yan England,"Denise Robert, Diane England","André Gulluni, Yan England",,,,1h 35m,,A 22-year-old swimmer's fast-track to stardom is placed on hold by one dramatic event that carries sprawling repercussions.
THE TIME IT TAKES,--,0 Ratings,--,THE TIME IT TAKES,Drama,Portuguese (Brazil),Cíntia Domit Bittar,,,,,,20m,,"During the end of the world, Jamila leaves her home to find a way to fix her fan."
FIRST CHAIR,--,0 Ratings,--,FIRST CHAIR,Comedy,English,Colleen Davie Janes,"Colleen Davie Janes, Howard Fass","Colleen Davie Janes, Robert Janes",,"Oct 21, 2019",,14m,,A teenage cellist struggles with artistic roadblocks at home and in school.
MIRAGE,78%,"1,000+ Ratings",82%,MIRAGE,Drama,Macedonian,Svetozar Ristovski,Svetozar Ristovski,"Svetozar Ristovski, Grace Lea Troje",,,$1.5K,1h 48m,,"In a Macedonian town, a schoolboy (Marko Kovacevic) named Marko finds refuge from a terrible home life and attacks from bullies by keeping a low profile and hanging around the railyard. A teacher (Mustafa Nadarevic) discovers Marko's hidden talent for poetry and encourages him to enter a contest, but then a soldier (Nikola Djuricko) arrives on the scene and teaches him a more violent set of skills."
THE SCARLETT O'HARA WAR,64%,100+ Ratings,--,THE SCARLETT O'HARA WAR,Drama,English,John Erman,Stan Margulies,William Hanley,,,,1h 45m,,"Producer David O. Selznick launches a massive talent search for the actress to star in ""Gone With the Wind."""
GARY OWEN: BLACK FAMOUS,--,0 Ratings,--,GARY OWEN: BLACK FAMOUS,"Comedy, Stand-Up",English,Brian Volk-Weiss,,,,,,,,"This last year has been unlike any other: COVID, lockdowns, and for Gary, it has also included a divorce and family insanity unlike any other; up until now, Gary hasn't been able to speak about what really happened."
LEVIATHAN,27%,"5,000+ Ratings",24%,LEVIATHAN,"Sci-Fi, Horror, Mystery & Thriller",English,George P. Cosmatos,"Luigi De Laurentiis, Aurelio De Laurentiis",,,"Jul 17, 2001",$15.4M,1h 38m,,"Hired by Martin (Meg Foster), the head of a major corporation, a crew including geologist Steven Beck (Peter Weller) descends to the ocean's depths for a mining project. When the undersea explorers find a sunken ship and investigate, they inadvertently bring a malevolent life form on board their vessel. The creature kills some crew members and causes them to mutate, resulting in a battle for survival against an unknown force far below the surface of the ocean."
BAD COMPANY,--,0 Ratings,--,BAD COMPANY,Drama,Japanese,Tomoyuki Furumaya,Takenori Sento,Tomoyuki Furumaya,,,,1h 38m,,"For Sadatomo Kozu (Yamato Okitsu) and his two best friends, skipping class and committing petty crimes are as much about escaping the horrifying environment of their school as rebellion. After all, their chief tormentor at school is their teacher, Kobayashi (Mikio Shimizu), whose approach to education starts and ends with obedience to authority -- those who do not submit are ""delinquents"" and ""scum"" deserving punishment. Inevitably, a war of wills between Sadatomo and Kobayashi ensues."
AVA: A TWIST IN THE ROAD,90%,Fewer than 50 Ratings,100%,AVA: A TWIST IN THE ROAD,Drama,English,Catherane Skillen,"Kathleen Klein, Catherane Skillen",Catherane Skillen,,"Jan 1, 2022",,1h 14m,,"Ava has been with the love of her life for years. An occasional blip like in any life, but overall she is happy and content. Then in one moment a tragic event occurs and she finds herself navigating a world of which she never dreamed."
ALONE TOGETHER,--,0 Ratings,--,ALONE TOGETHER,Drama,English (United Kingdom),Luke Bradford,Luke Bradford,Luke Bradford,,"Feb 12, 2021",,10m,,"A couple are torn apart by the loss of their unborn child. Sara is having to self isolate while her husband Greg, an NHS nurse, is on the front line fighting the pandemic. Isolation creates an unlikely setting for a breakthrough."
THE SEDUCTION OF ROSE PARRISH,--,0 Ratings,--,THE SEDUCTION OF ROSE PARRISH,Horror,English,Charles Band,Charles Band,Charles Band,,,,30m,,"A bad breakup sends Rose from Los Angeles to her ancestral home, where unexplained happenings start to lure her into a world of forbidden love."
NEVER TOO LATE,--,250+ Ratings,--,NEVER TOO LATE,"Comedy, Drama",English,Giles Walker,"Stefan Wodoslawsky, Tom Berry",,,"Apr 12, 2017",,1h 36m,,Seniors become sleuths after learning a deceased friend's estate was donated to their retirement home.
RIDING WITH A SPY,--,0 Ratings,--,RIDING WITH A SPY,Documentary,English,Shlomi Eldar,"Ehud Bleiberg, Omri Uzrad, Yoav Ze'evi",,,,,1h 32m,,"Israeli whistleblower Anat Kamm embarks on a road trip across the United States before being forced to return to Israel, where she's marked as a traitor to her country."
EL VIAJE,--,0 Ratings,--,EL VIAJE,Drama,Spanish,Francisco Múgica,,,,,,1h 23m,,An architect enters into a whirlwind romance with a young woman in a small village.
WHEN YOU ARE GONE,--,0 Ratings,--,WHEN YOU ARE GONE,,English,Rafael Altamira,,Rafael Altamira,,,,2h 18m,,James Taylor struggles to live a normal life in spite of his haunted past that will not let him move on.
SENSATION,22%,50+ Ratings,--,SENSATION,Mystery & Thriller,English,Brian Grant,John Morrissey,Doug Wallace,,"Feb 18, 2016",,1h 42m,,College student Lila discovers a latent ability to see into the past. When a professor hires her for some psychological tests she becomes the target of the killer of the woman she sees in her dreams.
FORGIVENESS,--,0 Ratings,--,FORGIVENESS,Drama,English,Mariusz Kotowski,,,,,,1h 24m,,"Polish, Jewish and Christian survivors of the Holocaust strive for reconciliation and implore subsequent generations to forge a peaceful path into the future."
JUSTINE,36%,50+ Ratings,--,JUSTINE,Drama,English,George Cukor,Pandro S. Berman,,"Aug 6, 1969  Wide","Mar 24, 2015",,1h 56m,Fox,"Darley (Michael York) is a young British schoolteacher living in the Egyptian city of Alexandria. His life changes forever when he meets Justine (Anouk Aimée), the beautiful and mysterious wife of a financial minister, Nessim (John Vernon). He is smitten with Justine, but he soon discovers that there is more to her than meets the eye. Justine is actually working against the British government to send weapons to Jews in Palestine, and she is not above using her sexuality to do it."
THE CONFESSIONAL,81%,"1,000+ Ratings",--,THE CONFESSIONAL,Mystery & Thriller,French (Canada),Robert Lepage,"Denise Robert, David Puttnam, Phillippe Carcassonne",,,,,1h 40m,,"In the late 1980s, Pierre Lamontagne (Lothaire Bluteau) travels to his hometown in Quebec after his father dies. There, he runs into his adoptive brother, Marc (Patrick Goyette), who desperately wishes to uncover the mysterious identity of his own biological father. They begin to investigate, which leads them back to 1952, with Alfred Hitchcock (Ron Burrage) filming ""I Confess"" in the area amid a complex scandal involving the Lamontagne family, Marc's pregnant mother and the Catholic church."
SMITTEN,--,0 Ratings,--,SMITTEN,Documentary,English (Australia),Ed Thornhill,,,,,,1h 33m,,"A journey through the Grampians, Mount Arapiles, Blue Mountains, Nowra and Sydney with Australia's best rock climbers and BASE jumpers."
SLEEPWALK,43%,Fewer than 50 Ratings,--,SLEEPWALK,Mystery & Thriller,English,Sara Driver,"Kathleen Brennan, Sara Driver",Sara Driver,,"Dec 2, 2019",,1h 15m,,"A word processor's (Suzanne Fletcher) son (Dexter Lee) is kidnapped and her roommate (Ann Magnuson) loses her hair, because of a Chinese manuscript."
ROCK AND ROLL REVIEW,--,0 Ratings,--,ROCK AND ROLL REVIEW,Musical,English,Joseph Kohn,Ben Frye,,,"May 13, 2016",,1h 10m,,"In the 1950s, at the famed Apollo Theater in Harlem, N.Y., comic Willie Bryant emcees a variety show comprising some of the biggest names in African-American music, comedy and dance. On hand to document the historic event is filmmaker Joseph Kohn, who points a steady lens on the lively performances of jazz legends Duke Ellington, Lionel Hampton and Sarah Vaughan; stand-up comic Nipsey Russell; and the dynamic tap dance team of Charles ""Honi"" Coles and Cholly Atkins."
MATERNAL,--,Fewer than 50 Ratings,100%,MATERNAL,Drama,Spanish,Maura Delpero,,Maura Delpero,,,,1h 31m,,Lu and Fati are teen mothers living in a religious shelter in Buenos Aires. Sister Paola arrives there to take her final vows.
MARY MOTHER OF CHRIST,84%,"1,000+ Ratings",--,MARY MOTHER OF CHRIST,,,,,,,,,,,Director: Alister Grierson
LUCRECIA,--,0 Ratings,--,LUCRECIA,Mystery & Thriller,Spanish,Hector Ornelas Rodríguez,Gilberto Aviña Gomez,Hector Ornelas Rodríguez,,,,19m,,A teenager dealing with the death of her father and her mother's alcoholism decides to do something so she can see her father again.
AVENTURERA,81%,100+ Ratings,--,AVENTURERA,Drama,Spanish,Alberto Gout,,,,,,1h 41m,,A woman (Ninón Sevilla) becomes a popular dancer in a nightclub that is a front for a brothel.
FINLANDIA,--,0 Ratings,--,FINLANDIA,"Drama, Fantasy",Spanish,Horacio Alcala,,"Horacio Alcala, Jesús Caballero",,,,1h 37m,,"A devastating earthquake hits Oaxaca, Mexico, which has an emotional impact among members of the Muxe community as they fight for the recognition of their gender."
JANA,--,0 Ratings,--,JANA,Action,Tamil,Shaji Kailas,Kaja Maideen,Shaji Kailas,,"Apr 18, 2021",,1h 20m,,"Jana terrorizes mob dons in Mumbai by killing, maiming and teaching them a lesson in fear."
THE GIGANTES,--,0 Ratings,--,THE GIGANTES,,Spanish,Beatriz Sanchís,"Inna Payán, Luis Salinas","Beatriz Sanchís, Marty Minnich",,,,1h 34m,,Genre: Drama
WHAT THE EYE DOESN'T SEE,87%,50+ Ratings,--,WHAT THE EYE DOESN'T SEE,Mystery & Thriller,Spanish,Francisco J. Lombardi,,Giovanna Pollarolo,,,,1h 35m,,A history reveals the moral decomposition that ran through all classes and generations of Peruvian society during the 1990s.
DIORAMA,--,Fewer than 50 Ratings,--,DIORAMA,"Romance, Drama",Swedish,Tuva Novotny,"Rene Ezra, Eva Åkergren",Tuva Novotny,,"Sep 8, 2022",,1h 39m,,"As miscommunication and temptations abound, a couple's once-passionate marriage slowly unravels, narrated through humorous dioramas."
MISS,--,Fewer than 50 Ratings,--,MISS,Comedy,French (France),Ruben Alves,"Laetitia Galitzine, Hugo Gélin","Elodie Namer, Ruben Alves",,,,1h 47m,,A young man decides to make his dream of becoming Miss France come true.
BABY,--,0 Ratings,--,BABY,Mystery & Thriller,Spanish,Juanma Bajo Ulloa,Juanma Bajo Ulloa,Juanma Bajo Ulloa,,,,1h 46m,,"Billed as a dark fairytale, Baby is set in a modern town nestled deep in an eerie forest. There, a young drug addict hits rock bottom when she sells her new-born baby to child traffickers. She soon regrets her decision and finds the courage to get him back. To do so, she must break in a house where the old lady she met, her albino servant and a little girl, all live together. Nothing could have prepared her for what she will discover."
TIME FOR REVENGE,92%,50+ Ratings,--,TIME FOR REVENGE,Drama,Spanish,Adolfo Aristarain,,,"Jul 30, 1981  Original","Dec 19, 2017",,1h 53m,,An explosives expert (Federico Luppi) fakes an accident to con the corrupt mining company he works for in Argentina.
CUBA LIBRE,--,0 Ratings,--,CUBA LIBRE,Comedy,Spanish,Raimundo García,,,,"Mar 20, 2020",,1h 26m,,A group of radical anarchist squatters overtakes the Cuban Embassy in Madrid at the same time that Fidel Castro announces Cuba's first democratic elections.
SOUND OF SILENCE,--,0 Ratings,--,SOUND OF SILENCE,Drama,Tibetan,Bijukumar Damodaran,Pillai A.K,Bijukumar Damodaran,,"Aug 2, 2019",,1h 27m,,The journey of a neglected and abandoned mute boy in the Himalayan Valley after he loses his mother at birth and goes on to be neglected by his father.
UN RETRATO DE FAMILIA,--,0 Ratings,--,UN RETRATO DE FAMILIA,,Spanish,Adrian Zurita,"Adrian Zurita, Joceline Hernandez",Adrian Zurita,,,,1h 39m,,Genre: Drama
THOROUGHBRED,--,0 Ratings,--,THOROUGHBRED,Documentary,English,Paul Wagner,Paul Wagner,Paul Wagner,,,,1h 25m,,"A behind-the-scenes look at the world of horse racing as owners, trainers and jockeys prepare for the 2009 Kentucky Derby."
SHADOW,29%,250+ Ratings,71%,SHADOW,"Horror, Mystery & Thriller",English,Federico Zampaglione,,,,"Mar 15, 2011",,1h 30m,,A war veteran's mountain-biking vacation turns nightmarish when he is captured by a psychopath.
THE HARVEST,67%,50+ Ratings,--,THE HARVEST,Documentary,English,U. Roberto Romano,"U. Roberto Romano, Rory O'Connor",,"Jul 29, 2011  Limited","Apr 11, 2017",,1h 20m,Cinema Libre Studio,"Director U. Roberto Romano examines the plight of migrant child farmworkers, focusing on three youths as they toil around the country picking crops."
