original_title,overview,popularity,poster_path,release_date,title,vote_average,vote_count,imdb_id,status,revenue,budget,collection,productions,genres,release_year
Вовка и зима в Тридевятом царстве,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/veQi2EgJUuCq8Z9WgxCGHCaJ9Xh.jpg,2021-12-31,Вовка и зима в Тридевятом царстве,4.0,1,,Released,0,0,,[],['Animação'],2021
Rescuing a Fantasy Classic,,0.6,,2021-12-31,Rescuing a Fantasy Classic,7.0,1,,Released,0,0,,['Signal Hill Entertainment'],['Documentário'],2021
Diomar,,0.6,,2021-12-31,Diomar,0.0,0,tt13598760,Released,0,0,,[],['Documentário'],2021
Bien parecidas,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/4RMaAlAjAqCSCHYTJHT26IlK8LM.jpg,2021-12-31,Bien parecidas,0.0,0,,Released,0,0,,"['Villanos Cine', 'Ácidas Films', 'Fire Pit Studios']",['Drama'],2021
Hay algo que no he dicho,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/2dh2coQRwJ2F8U3z9MltcShNIWi.jpg,2021-12-31,Hay algo que no he dicho,0.0,0,,Released,0,0,,[],[],2021
"3 días, 3 años",,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/frUMaNFezJW5dWErxC9oV3GEu9A.jpg,2021-12-31,"3 días, 3 años",0.0,0,,Released,0,0,,[],['Documentário'],2021
Tan cerca y tan lejos,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/c2BOpZxGTrgbbBTtE0Z0ma6adyd.jpg,2021-12-31,Tan cerca y tan lejos,0.0,0,,Released,0,0,,[],[],2021
Pequeño homenaje a David Foster Wallace,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/d8ePeoFKCdMoSR5Z6Y9qiz3mG0w.jpg,2021-12-31,Pequeño homenaje a David Foster Wallace,0.0,0,,Released,0,0,,[],[],2021
Mientras tanto,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/7DCKXfrpUo9YH7bEgRFzFWoJVIO.jpg,2021-12-31,Mientras tanto,0.0,0,,Released,0,0,,[],[],2021
Gambote,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/fXw2DO2F77rOEs6UxkpwHomSBbI.jpg,2021-12-31,Gambote,0.0,0,,Released,0,0,,[],[],2021
